,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1446.2561,FDW58,OUT049
1,1530.2927,FDW14,OUT017
2,659.65796,NCN55,OUT010
3,2135.911,FDQ58,OUT017
4,5871.753,FDY38,OUT027
5,1601.3888,FDH56,OUT046
6,558.6033,FDL48,OUT018
7,2037.5474,FDC48,OUT027
8,1175.9531,FDN33,OUT045
9,1819.2366,FDA36,OUT017
10,1520.3899,FDT44,OUT017
11,1418.4136,FDQ56,OUT045
12,910.99866,NCC54,OUT019
13,2234.624,FDU11,OUT049
14,764.2481,DRL59,OUT013
15,2259.4597,FDM24,OUT049
16,4059.8704,FDI57,OUT045
17,3215.9858,DRC12,OUT018
18,3160.1138,NCM42,OUT027
19,1119.4142,FDA46,OUT010
20,3155.1853,FDA31,OUT013
21,3421.784,NCJ31,OUT035
22,945.6392,FDG52,OUT046
23,357.42673,NCL19,OUT019
24,2837.99,FDS10,OUT035
25,-48.956192,FDX22,OUT010
26,721.9635,NCF19,OUT035
27,2349.5308,NCE06,OUT046
28,3879.8462,DRC27,OUT046
29,2527.4011,FDE21,OUT035
30,42.02449,NCR42,OUT019
31,2807.0203,FDX51,OUT018
32,377.81403,NCR06,OUT018
33,5406.977,FDU31,OUT027
34,1680.9142,FDU59,OUT017
35,4592.1284,FDR03,OUT027
36,2432.857,FDS49,OUT027
37,473.50613,FDD48,OUT010
38,3618.8562,NCF18,OUT017
39,2493.5417,NCD43,OUT027
40,1928.3519,NCD54,OUT018
41,49.45727,FDY19,OUT010
42,2484.8677,NCY54,OUT017
43,1648.5253,NCL19,OUT018
44,-26.973167,FDP23,OUT010
45,1845.4517,FDC26,OUT013
46,56.345245,FDR14,OUT010
47,3506.2517,NCS41,OUT035
48,4469.998,FDF41,OUT035
49,1998.1383,FDU34,OUT046
50,814.8416,DRH11,OUT046
51,1851.3463,FDM03,OUT013
52,3147.341,FDS31,OUT017
53,2057.3533,FDJ20,OUT017
54,4997.1445,FDV44,OUT027
55,2505.7893,FDG02,OUT049
56,3789.7952,FDA09,OUT013
57,536.05945,FDT04,OUT013
58,43.37807,FDL58,OUT019
59,1279.0271,FDE52,OUT045
60,2515.0476,FDW12,OUT035
61,4019.1992,FDL51,OUT017
62,3160.203,NCY42,OUT027
63,1433.2482,FDR07,OUT017
64,2423.3662,FDN40,OUT045
65,2421.0044,FDB35,OUT027
66,2797.5217,FDA22,OUT017
67,5298.485,NCL06,OUT046
68,3628.2632,FDI35,OUT013
69,3990.5242,NCW42,OUT045
70,2652.0747,NCX06,OUT049
71,2613.0847,FDC37,OUT027
72,1542.4279,FDZ14,OUT018
73,4634.9897,DRG49,OUT049
74,2871.2222,NCG06,OUT045
75,2718.6907,DRC36,OUT045
76,318.90063,FDV21,OUT019
77,3036.85,FDB53,OUT046
78,461.5964,DRP47,OUT019
79,2709.1426,FDA14,OUT013
80,2872.8662,DRC24,OUT035
81,1375.8391,FDW21,OUT018
82,2002.5222,NCH29,OUT046
83,3336.501,FDU58,OUT013
84,2598.918,FDY27,OUT017
85,1611.6969,FDV56,OUT035
86,4069.5825,FDT59,OUT046
87,3288.516,FDB23,OUT046
88,791.4098,FDR49,OUT045
89,876.0726,FDB03,OUT010
90,2623.704,FDN39,OUT045
91,5781.0503,FDX02,OUT027
92,2915.295,FDQ16,OUT027
93,1617.3239,FDU35,OUT018
94,1814.2916,NCT29,OUT013
95,741.1272,FDZ27,OUT046
96,1737.9646,FDN57,OUT017
97,2293.2385,FDA03,OUT018
98,4363.814,FDZ36,OUT045
99,563.2246,NCU05,OUT013
100,2206.0059,FDT39,OUT018
101,1534.6038,FDK60,OUT017
102,3122.2966,FDZ25,OUT017
103,2205.7537,FDG12,OUT046
104,568.90094,DRB01,OUT019
105,5985.659,NCC43,OUT027
106,1201.6051,FDX13,OUT019
107,1048.0338,FDM22,OUT049
108,1383.5536,FDJ03,OUT027
109,4726.372,FDU14,OUT018
110,521.67316,FDB33,OUT010
111,3256.0742,FDP27,OUT046
112,196.438,FDO38,OUT010
113,6055.967,FDE28,OUT027
114,1670.2521,FDO27,OUT035
115,2412.8748,DRL23,OUT027
116,756.36755,FDS28,OUT046
117,1144.8462,FDX24,OUT013
118,1396.4684,FDZ02,OUT035
119,1493.8896,FDL46,OUT045
120,5019.861,FDS60,OUT027
121,497.06378,NCO06,OUT017
122,1764.9559,FDO16,OUT035
123,2146.6248,FDC60,OUT049
124,4727.6934,FDA48,OUT018
125,5170.958,FDZ36,OUT027
126,1865.4857,FDK27,OUT045
127,605.6292,FDW23,OUT018
128,1357.6173,FDM14,OUT018
129,1623.4628,FDM14,OUT013
130,3219.4941,FDW60,OUT018
131,2049.86,FDE21,OUT013
132,1736.0697,NCM42,OUT035
133,22.691086,FDY59,OUT010
134,1416.9142,DRI49,OUT049
135,202.33145,FDT28,OUT019
136,357.29907,FDQ22,OUT018
137,1201.0751,FDR60,OUT049
138,255.86327,FDC50,OUT019
139,2054.1426,FDV24,OUT013
140,-386.8418,DRF48,OUT010
141,777.3824,FDQ47,OUT046
142,1613.8413,DRN36,OUT049
143,2364.9102,NCY06,OUT035
144,1498.8169,FDE52,OUT035
145,1659.3353,NCB54,OUT045
146,2492.0264,NCF31,OUT035
147,3479.3848,FDJ08,OUT027
148,1302.7744,NCC07,OUT017
149,1548.8767,NCD19,OUT027
150,1985.1041,FDL46,OUT049
151,4933.2803,FDM20,OUT045
152,533.8513,NCI06,OUT010
153,5221.4077,DRM11,OUT035
154,2325.7944,NCH07,OUT018
155,2157.3835,FDS23,OUT013
156,544.6986,FDO49,OUT018
157,1141.0779,FDS35,OUT049
158,1322.873,DRK39,OUT045
159,963.2884,DRI39,OUT049
160,2230.9956,FDV04,OUT017
161,2905.2166,NCN14,OUT035
162,3835.4287,FDH08,OUT013
163,3279.794,FDS20,OUT046
164,1128.6544,FDV40,OUT049
165,123.338036,FDZ48,OUT010
166,2273.0981,FDS24,OUT027
167,2632.482,FDK44,OUT049
168,2753.1592,FDS48,OUT045
169,349.63715,FDK26,OUT010
170,3385.5703,FDD23,OUT045
171,2946.3066,NCH54,OUT017
172,205.16513,NCP14,OUT010
173,75.962265,FDM60,OUT010
174,2039.0397,FDV24,OUT017
175,2449.056,FDH08,OUT018
176,3752.6335,FDS12,OUT027
177,5341.488,FDR39,OUT027
178,989.8345,FDP12,OUT027
179,5070.461,DRF60,OUT027
180,1764.9077,FDC09,OUT035
181,3006.0588,FDF50,OUT018
182,3605.0908,FDG28,OUT035
183,946.59485,NCE19,OUT017
184,65.8557,NCM53,OUT010
185,1561.6079,NCN18,OUT049
186,3235.4546,FDF32,OUT035
187,4263.462,FDF11,OUT013
188,4275.13,DRI59,OUT049
189,3171.0884,NCG54,OUT035
190,1647.0764,FDM44,OUT046
191,2085.1963,FDT57,OUT018
192,2053.5562,FDV24,OUT046
193,775.9008,FDI50,OUT019
194,734.57,FDS09,OUT035
195,4373.7925,NCC31,OUT027
196,371.7618,FDQ07,OUT019
197,3317.8777,FDC22,OUT017
198,2727.8179,FDZ56,OUT046
199,245.22578,FDZ40,OUT019
200,3573.6038,FDS46,OUT027
201,1912.4868,DRD24,OUT045
202,3717.446,FDV45,OUT017
203,2516.322,FDL26,OUT045
204,2045.3088,FDA56,OUT018
205,1557.6573,FDN27,OUT046
206,5494.634,FDM20,OUT049
207,1739.6056,FDO16,OUT017
208,3321.2961,FDL03,OUT035
209,1620.6218,FDE58,OUT046
210,3222.258,FDI02,OUT027
211,56.70863,NCC55,OUT019
212,3935.561,FDR03,OUT018
213,1362.0654,FDB14,OUT017
214,4949.1475,FDR45,OUT013
215,2181.8916,NCN07,OUT017
216,227.26207,FDM51,OUT019
217,7223.4473,FDT52,OUT027
218,2502.998,FDL26,OUT046
219,4251.1396,NCZ42,OUT046
220,612.2073,DRI47,OUT019
221,2619.6184,FDW40,OUT013
222,3020.8877,FDN34,OUT046
223,2778.58,FDS01,OUT035
224,1711.3718,NCG55,OUT045
225,1284.0381,FDC11,OUT035
226,2865.2278,FDX35,OUT018
227,2206.8083,NCB06,OUT046
228,294.18182,FDR09,OUT019
229,1455.763,FDC53,OUT017
